lambda_g,R_hat,Min_ESS,Divergences,Consistency_A,Violations_Median,Gap_Median,Star_Fraction,NJ_Residual
0.0,1.0033,542.0,0,43.59666705131531,0.0609135627746582,0.27834081649780273,10.964000225067139,159.68761051129314
0.1,1.0035,698.0,0,43.47333312034607,0.06127011775970459,0.2779226303100586,10.879333317279816,161.27227631701484
0.5,1.0045999999999997,265.0,0,43.338000774383545,0.06175494194030762,0.2814764976501465,10.709333419799805,160.77020208217328
1.0,1.0019999999999998,561.0,0,43.30466687679291,0.06166279315948486,0.2820080518722534,10.797999799251556,160.1045701017302
2.0,1.0024000000000002,510.0,0,43.601998686790466,0.06103217601776123,0.2803518772125244,10.847333073616028,160.62358026412917
5.0,1.003,522.0,0,43.697333335876465,0.06126689910888672,0.2845888137817383,10.582666844129562,162.20227827445657
10.0,1.0017,645.0,0,43.55466663837433,0.06123065948486328,0.2863861322402954,10.474000126123428,165.72039083073832
