lambda_4,mean_rhat,min_ess,divergences,nj_tree_residual_pct,tree_consistency_rate_pct,violation_median,violation_q95,violation_q99,branch_gap_median,branch_gap_q05,star_tree_fraction_pct,dist_min,dist_median,dist_max
0.0,1.0017,745.0,0,198.10753851415691,34.68399941921234,0.0836559534072876,0.26541951298713684,0.31310904026031494,0.37846481800079346,0.0317733995616436,7.816000282764435,0.003417984349653125,0.9611667990684509,3.5731964111328125
1.0,1.0027,585.0,0,182.2195510393332,38.41133415699005,0.07336950302124023,0.23487891256809235,0.2761269509792328,0.33293306827545166,0.027421249076724052,9.079333394765854,0.0013318749843165278,0.9611698389053345,3.54345703125
1.5,1.0024,824.0,0,178.5676795058094,40.02933204174042,0.06923508644104004,0.22580116987228394,0.26820486783981323,0.319311261177063,0.025650562718510628,9.508666396141052,0.0006318198866210878,0.9545071125030518,3.392082929611206
2.0,1.0028000000000001,714.0,0,170.9873325134173,41.066667437553406,0.06645584106445312,0.2180527150630951,0.2582840323448181,0.30174875259399414,0.02474597841501236,9.985333681106567,0.0029266229830682278,0.9601407051086426,3.4108033180236816
2.5,1.0029000000000001,484.0,0,168.08179759044575,42.32066571712494,0.06380367279052734,0.21221613883972168,0.25209811329841614,0.2930564880371094,0.023591317236423492,10.450000315904617,0.002947414992377162,0.9562761783599854,3.3954672813415527
3.0,1.0033,542.0,0,159.68761051129314,43.59666705131531,0.0609135627746582,0.20525741577148438,0.2452651411294937,0.27834081649780273,0.02224961668252945,10.964000225067139,0.00023505339049734175,0.9548196196556091,3.6660232543945312
5.0,1.0063,384.0,0,140.97698638467295,47.652667760849,0.05382657051086426,0.18973346054553986,0.23113206028938293,0.23946726322174072,0.018568897619843483,12.975333631038666,0.0027693479787558317,0.9633702635765076,3.6028859615325928
10.0,1.0151,74.0,0,92.77148436471376,58.281999826431274,0.038968682289123535,0.16521799564361572,0.22036713361740112,0.16412115097045898,0.011954494751989841,19.300666451454163,0.00034141031210310757,0.9789285063743591,4.208856582641602
